'California flannelbush','Jennifer','Scodie Mountains',26-Jun-06
'Pale owls clover','Jennifer','Frog Meadows Guard Station',1-Jun-06
'Draperia','Jennifer','Steve Spring',23-Sep-06
'Sheltons violet','Jennifer','Covington Mountain',18-Jun-06
'One-seeded pussy paws','Jennifer','Scodie Mountains',29-May-06
'Ithuriels spear','Jennifer','Scodie Mountains',7-Jun-06
'Primrose monkeyflower','Jennifer','Bright Star Mine',19-May-06
'Yellow-and-white monkeyflower','Jennifer','Piute Peak',18-Apr-06
'Large false Solomons seal','Jennifer','Piute Lookout',27-Jun-06
'Showy Jacobs ladder','Jennifer','Grouse Meadow',27-Jun-06
'Douglas dustymaiden','Jennifer','Burton Mill',29-May-06
'Varied-leaved jewelflower','Jennifer','Breckenridge Mountain',27-May-06
'Death camas','Jennifer','Scodie Mountains',9-Jul-06
'Broad-seeded rock-cress','Jennifer','Double Mountain',16-Jun-06
'Diamond clarkia','Jennifer','Puerto del Suelo',20-Jun-06
'Leopard lily','Jennifer','Burton Mill',25-Jul-06
'Torreys lomatium','Jennifer','Puerto del Suelo',21-Sep-06
'Alpine penstemon','Jennifer','Scodie Mountains',21-Aug-06
'Alpine sheep sorrel','Jennifer','Camp Alto Campground',15-Jun-06
'Woodland star','Jennifer','Mack Meadow',8-Aug-06
'Rangers buttons','Jennifer','Breckenridge Fire Tower',18-Jul-06
'Doves-foot geranium','Jennifer','The George Lodge',3-May-06
'Globe gilia','Jennifer','Puerto del Suelo',23-Jul-06
'Canyon dudleya','Jennifer','Moreland Mill',12-Jul-06
'Red mountain heather','Jennifer','The George Lodge',20-Jun-06
'Hartwegs wild ginger','Jennifer','Piute Lookout',18-May-06
'Snow plant','Jennifer','Scodie Mountains',9-Jun-06
'Alpine lewisia','Jennifer','Piute Lookout',25-May-06
'Cow parsnip','Jennifer','Liebel Peak',29-Jun-06
'Sierra daisy','Jennifer','Double Mountain',12-Aug-06
'Bridges gilia','Jennifer','Don Levy Mine',28-Jun-06
'Sierra Nevada rush','Jennifer','Gwynnette Mine',10-Aug-06
'Purple penstemon','Jennifer','Piute Lookout',30-Jun-06
'Mud sedge','Jennifer','Alaska Flat',17-May-06
'Showy milkweed','Jennifer','Sawtooth Peak',18-Jul-06
'Kings sandwort','Jennifer','Sorrell Peak',30-Jun-06
'Ithuriels spear','Jennifer','Double Mountain',20-Aug-06
'One-seeded pussy paws','Jennifer','Scodie Mountains',7-May-06
'Alpine sheep sorrel','Jennifer','Scodie Mountains',26-Sep-06
'Varied-leaved jewelflower','Jennifer','San Emigdio Mountain',26-May-06
'Primrose monkeyflower','Jennifer','Puerto del Suelo',11-Jul-06
'Rangers buttons','Jennifer','Sorrell Peak',8-May-06
'Leopard lily','Jennifer','Piute Lookout',27-Jul-06
'Torreys lomatium','Jennifer','Alaska Flat',13-May-06
'Tinkers penny','Jennifer','Campo Alto Campground',30-Jun-06
'Sheltons violet','Jennifer','Burton Mill',1-Jul-06
'Bridges gilia','Jennifer','Don Levy Mine',15-Jun-06
'Broad-seeded rock-cress','Jennifer','Scodie Mountains',26-Jun-06
'Sierra stonecrop','Jennifer','Alaska Flat',7-Jul-06
'Death camas','Jennifer','Alaska Flat',9-Jun-06
'Alpine penstemon','Jennifer','Burton Mill',21-May-06
'Showy Jacobs ladder','Jennifer','McGill Campground',3-Jun-06
'Butter and eggs','Jennifer','Don Levy Mine',29-Jun-06
'Sierra daisy','Jennifer','Breckenridge Fire Tower',20-May-06
'Douglas dustymaiden','Jennifer','Scodie Mountains',19-May-06
'Cow parsnip','Jennifer','Black Mountain',9-Jul-06
'Pale owls clover','Jennifer','Alaska Flat',11-Jul-06
'Woodland star','Jennifer','Bright Star Mine',22-Jun-06
'Cow parsnip','Jennifer','Puerto del Suelo',12-Jul-06
'Sierra stonecrop','Jennifer','Inspiration Point',3-Jun-06
'Sheltons violet','Jennifer','Campo Alto Campground',2-Sep-06
'Primrose monkeyflower','Jennifer','Mack Meadow',26-Sep-06
'Broad-seeded rock-cress','Jennifer','Alaska Flat',11-Jul-06
'Douglas dustymaiden','Jennifer','Black Mountain',7-Jun-06
'Ithuriels spear','Jennifer','Frog Meadows Campground',28-Jun-06
'Showy Jacobs ladder','Jennifer','Don Levy Mine',11-Jul-06
'Death camas','Jennifer','Don Levy Mine',24-Jun-06
'Leopard lily','Jennifer','Inmans',23-Jun-06
'Pale owls clover','Jennifer','Scodie Mountains',2-Jun-06
'California flannelbush','Jennifer','Puerto del Suelo',23-May-06
'Red mountain heather','Jennifer','Piute Lookout',29-Jun-06
'Woodland star','Jennifer','Owens Peak',17-Aug-06
'One-seeded pussy paws','Jennifer','Tehachapi Mountain',13-Aug-06
'Alpine columbine','Jennifer','Bright Star Mine',11-Jul-06
'Varied-leaved jewelflower','Jennifer','Piute Lookout',9-Aug-06
'Torreys lomatium','Jennifer','King Solomons Ridge',16-Apr-06
'Tinkers penny','Jennifer','Scodie Mountains',3-Jun-06
'Alpine penstemon','Jennifer','Piute Lookout',26-May-06
'Large-leaved lupine','Jennifer','Alaska Flat',18-Jun-06
'Rangers buttons','Jennifer','Scodie Mountains',21-Jul-06
'One-sided wintergreen','Jennifer','Alaska Flat',9-Jun-06
'Condensed phlox','Jennifer','Breckenridge Mountain',1-Aug-06
'Doves-foot geranium','Jennifer','Skinner Peak',25-May-06
'Globe gilia','Jennifer','Puerto del Suelo',12-Jun-06
'Diamond clarkia','Jennifer','Brush Mountain',16-Jun-06
'Canyon dudleya','Jennifer','Steve Spring',28-Sep-06
'Large false Solomons seal','Jennifer','Liebel Peak',25-Jun-06
'Hartwegs wild ginger','Jennifer','Sorrell Peak',27-Aug-06
'Alpine lewisia','Jennifer','Breckenridge Fire Tower',29-May-06
'Sierra Nevada rush','Jennifer','McGill Campground',29-Jul-06
